N	IDADE	PROFI	ESTCIVIL	ESCOLAR	ANESTUD	RENDA	GASAUDE	GASLAZER	GASTEDU	NUNFILHOS	DELETAR
108	23	1	3	6	5	2	273,9	362,1	222,2	3	107
109	20	1	3	6	5	2	232,2	385,6	253,7	1	108
110	23	1	2	7	6	3	267,7	349,1	195,4	1	109
111	20	1	1	5	4	2	260,3	364,5	131,2	1	110
112	23	2	1	7	6	2	166,6	159,4	66	1	111
113	22	1	1	5	4	2	301,7	376,6	301,6	1	112
114	27	1	3	6	5	2	231,2	310,5	170,9	3	113
115	20	1	2	7	6	3	215,4	310,6	270,6	1	114
116	25	1	1	6	5	1	236,9	273,2	261,2	1	115
117	21	1	2	6	5	2	198,7	325,2	145	3	116
118	23	2	3	6	5	2	266	208	159	1	117
119	26	2	1	6	5	2	230,5	220,7	133,8	3	118
120	22	2	1	7	6	3	73,6	80,5	54,7	1	119
